protein_id,protein_name,drug_id,drug_name,act_type
8479,SCN4A_HUMAN,4,levobupivacaine,
13223,CAC1D_HUMAN,6,(S)-nitrendipine,IC50
15871,ADRB1_HUMAN,13,levdobutamine,
1137,DYR_HUMAN,21,aminopterin,IC50
495,DNMT1_HUMAN,25,azacitidine,IC50
491,DNM3A_HUMAN,25,azacitidine,
5444,TYSY_HUMAN,26,fluorouracil,
18039,GNRHR_HUMAN,35,abarelix,Ki
1031,GBRA1_HUMAN,38,acamprosate,
1283,GBRG2_HUMAN,38,acamprosate,
1316,GBRB3_HUMAN,38,acamprosate,
20078,NMDE4_HUMAN,38,acamprosate,
20030,NMD3B_HUMAN,38,acamprosate,
18793,NMDZ1_HUMAN,38,acamprosate,
18916,NMDE1_HUMAN,38,acamprosate,
18917,NMDE2_HUMAN,38,acamprosate,
20077,NMDE3_HUMAN,38,acamprosate,
18792,NMD3A_HUMAN,38,acamprosate,
12341,MGA_HUMAN,39,acarbose,IC50
16047,AMYP_HUMAN,39,acarbose,
15871,ADRB1_HUMAN,40,acebutolol,Ki
10808,PGH2_HUMAN,47,acemetacin,
10479,PGH1_HUMAN,47,acemetacin,
10808,PGH2_HUMAN,52,paracetamol,IC50
7612,TRPV1_HUMAN,52,paracetamol,
13132,CAH2_HUMAN,56,acetazolamide,Ki
13070,CAH1_HUMAN,56,acetazolamide,Ki
13175,CAH4_HUMAN,56,acetazolamide,Ki
13220,CAH12_HUMAN,56,acetazolamide,Ki
570,DRD2_HUMAN,59,acetophenazine,
10956,NEP_HUMAN,60,racecadotril,IC50
15325,ACM3_HUMAN,65,acetylcholine,EC50
13813,AT1A1_HUMAN,67,acetyldigitoxin,
17103,AT1B1_HUMAN,67,acetyldigitoxin,
17101,AT1A3_HUMAN,67,acetyldigitoxin,
16889,AT1B2_HUMAN,67,acetyldigitoxin,
16891,AT1A2_HUMAN,67,acetyldigitoxin,
17008,AT1B3_HUMAN,67,acetyldigitoxin,
16863,ATNG_HUMAN,67,acetyldigitoxin,
13820,AT1A4_HUMAN,67,acetyldigitoxin,
569,DRD1_HUMAN,73,acepromazine,
570,DRD2_HUMAN,73,acepromazine,
10808,PGH2_HUMAN,74,acetylsalicylic acid,IC50
10479,PGH1_HUMAN,74,acetylsalicylic acid,IC50
10723,RARA_HUMAN,78,acitretin,
3504,RARG_HUMAN,78,acitretin,
9048,TOP1_HUMAN,80,aclarubicin,
9079,TOP2A_HUMAN,80,aclarubicin,
7662,TOP2B_HUMAN,80,aclarubicin,
6721,HRH1_HUMAN,82,acrivastine,IC50
10648,RARB_HUMAN,87,adapalene,Ki
3504,RARG_HUMAN,87,adapalene,Ki
15544,AA2AR_HUMAN,90,adenosine,EC50
16170,AA1R_HUMAN,90,adenosine,EC50
15560,AA2BR_HUMAN,90,adenosine,EC50
1035,GBRD_HUMAN,93,adinazolam,
1031,GBRA1_HUMAN,93,adinazolam,
1315,GBRB1_HUMAN,93,adinazolam,
1283,GBRG2_HUMAN,93,adinazolam,
1316,GBRB3_HUMAN,93,adinazolam,
1313,GBRA5_HUMAN,93,adinazolam,
1309,GBRA3_HUMAN,93,adinazolam,
2748,GBRA2_HUMAN,93,adinazolam,
2778,GBRB2_HUMAN,93,adinazolam,
1311,GBRA4_HUMAN,93,adinazolam,
2776,GBRA6_HUMAN,93,adinazolam,
1282,GBRG1_HUMAN,93,adinazolam,
1036,GBRG3_HUMAN,93,adinazolam,
8363,SCN5A_HUMAN,100,ajmaline,
15277,ADRB2_HUMAN,105,salbutamol,Ki
10808,PGH2_HUMAN,107,alclofenac,
5814,FPPS_HUMAN,112,alendronic acid,Ki
18529,OPRM_HUMAN,114,alfentanil,EC50
15934,ADA1A_HUMAN,115,alfuzosin,Ki
15894,ADA1D_HUMAN,115,alfuzosin,Ki
15686,ADA1B_HUMAN,115,alfuzosin,Ki
10304,RENI_HUMAN,119,aliskiren,IC50
570,DRD2_HUMAN,120,alizapride,Ki
14627,XDH_HUMAN,124,allopurinol,Ki
15254,5HT1B_HUMAN,128,almotriptan,Ki
16115,5HT1D_HUMAN,128,almotriptan,Ki
16197,5HT3A_HUMAN,129,alosetron,Ki
5290,VDR_HUMAN,130,alfacalcidol,
1031,GBRA1_HUMAN,136,alprazolam,EC50
1283,GBRG2_HUMAN,136,alprazolam,EC50
2778,GBRB2_HUMAN,136,alprazolam,EC50
1316,GBRB3_HUMAN,136,alprazolam,EC50
2748,GBRA2_HUMAN,136,alprazolam,EC50
1309,GBRA3_HUMAN,136,alprazolam,EC50
1313,GBRA5_HUMAN,136,alprazolam,EC50
15871,ADRB1_HUMAN,137,alprenolol,Kd
15277,ADRB2_HUMAN,137,alprenolol,Kd
10528,PE2R1_HUMAN,138,alprostadil,EC50
9939,PE2R2_HUMAN,138,alprostadil,EC50
18529,OPRM_HUMAN,143,alvimopan,Ki
20078,NMDE4_HUMAN,144,amantadine,Ki
20030,NMD3B_HUMAN,144,amantadine,Ki
18793,NMDZ1_HUMAN,144,amantadine,Ki
18916,NMDE1_HUMAN,144,amantadine,Ki
18917,NMDE2_HUMAN,144,amantadine,Ki
20077,NMDE3_HUMAN,144,amantadine,Ki
18792,NMD3A_HUMAN,144,amantadine,Ki
15595,ACES_HUMAN,146,ambenonium,
17591,GLCM_HUMAN,147,ambroxol,IC50
1184,GCR_HUMAN,150,amcinonide,
4107,SCNNA_HUMAN,158,amiloride,IC50
8212,SCNNB_HUMAN,158,amiloride,IC50
4109,SCNNG_HUMAN,158,amiloride,IC50
10142,PLMN_HUMAN,163,aminocaproic acid,IC50
7562,TPA_HUMAN,163,aminocaproic acid,
13532,CP19A_HUMAN,164,aminoglutethimide,IC50
393,CP11A_HUMAN,164,aminoglutethimide,
17974,KCNH2_HUMAN,176,amiodarone,IC50
8449,SC6A4_HUMAN,180,amitriptyline,Kd
8206,SC6A2_HUMAN,180,amitriptyline,Kd
10540,PDE4A_HUMAN,182,amlexanox,
10541,PDE4B_HUMAN,182,amlexanox,
10463,PDE4C_HUMAN,182,amlexanox,
10402,PDE4D_HUMAN,182,amlexanox,
13073,CAC1C_HUMAN,183,amlodipine,
13223,CAC1D_HUMAN,183,amlodipine,Ki
8449,SC6A4_HUMAN,191,amoxapine,IC50
8206,SC6A2_HUMAN,191,amoxapine,Ki
8206,SC6A2_HUMAN,195,amfetamine,
8358,SC6A3_HUMAN,195,amfetamine,Ki
10461,PDE3A_HUMAN,201,amrinone,IC50
10461,PDE3A_HUMAN,209,anagrelide,IC50
13532,CP19A_HUMAN,210,anastrozole,IC50
18529,OPRM_HUMAN,220,anileridine,
14293,VKGC_HUMAN,222,anisindione,
15806,ACM1_HUMAN,223,octatropine methylbromide,
15325,ACM3_HUMAN,223,octatropine methylbromide,
6721,HRH1_HUMAN,224,antazoline,
570,DRD2_HUMAN,228,apomorphine,Ki
15848,ADA2A_HUMAN,229,apraclonidine,Ki
15387,ADA2C_HUMAN,229,apraclonidine,Ki
15360,ADA2B_HUMAN,229,apraclonidine,Ki
19114,NK1R_HUMAN,230,aprepitant,Ki
13223,CAC1D_HUMAN,234,aranidipine,
13073,CAC1C_HUMAN,234,aranidipine,
16701,THRB_HUMAN,239,argatroban,Ki
570,DRD2_HUMAN,242,aripiprazole,Ki
15543,5HT2A_HUMAN,242,aripiprazole,Ki
7574,TRXR1_HUMAN,244,arsenic trioxide,
15871,ADRB1_HUMAN,255,atenolol,Ki
8206,SC6A2_HUMAN,256,atomoxetine,Kd
6025,HMDH_HUMAN,257,atorvastatin,IC50
15345,ACHA_HUMAN,259,atracurium,IC50
15678,ACHB_HUMAN,259,atracurium,IC50
15266,ACHD_HUMAN,259,atracurium,IC50
15806,ACM1_HUMAN,260,atropine,Ki
15379,ACM2_HUMAN,260,atropine,Ki
15325,ACM3_HUMAN,260,atropine,Ki
6721,HRH1_HUMAN,268,azatadine,
6721,HRH1_HUMAN,271,azelastine,Ki
13223,CAC1D_HUMAN,272,azelnidipine,
13073,CAC1C_HUMAN,272,azelnidipine,
18136,GABR2_HUMAN,282,baclofen,IC50
18165,GABR1_HUMAN,282,baclofen,IC50
10808,PGH2_HUMAN,284,balsalazide,
10479,PGH1_HUMAN,284,balsalazide,
11868,LOX5_HUMAN,284,balsalazide,
19023,PPARG_HUMAN,284,balsalazide,
6721,HRH1_HUMAN,288,bamipine,
13223,CAC1D_HUMAN,290,barnidipine,
13073,CAC1C_HUMAN,290,barnidipine,
1184,GCR_HUMAN,294,beclometasone dipropionate,Ki
15580,ACE_HUMAN,299,benazepril,IC50
8380,S12A3_HUMAN,305,bendroflumethiazide,A2
11868,LOX5_HUMAN,311,benoxaprofen,
15806,ACM1_HUMAN,313,diphenidol,Ki
8206,SC6A2_HUMAN,329,benzphetamine,
14338,VMAT2_HUMAN,329,benzphetamine,
570,DRD2_HUMAN,331,benzquinamide,Ki
8380,S12A3_HUMAN,332,benzthiazide,A2
15806,ACM1_HUMAN,333,benzatropine,Ki
6721,HRH1_HUMAN,341,bepotastine,
2223,CAC1H_HUMAN,342,bepridil,Ki
1184,GCR_HUMAN,348,betamethasone,IC50
1184,GCR_HUMAN,349,betamethasone acetate,
1184,GCR_HUMAN,351,betamethasone benzoate,
1184,GCR_HUMAN,353,betamethasone dipropionate,
1184,GCR_HUMAN,354,betamethasone valerate,
15871,ADRB1_HUMAN,356,betaxolol,Kd
6097,HRH2_HUMAN,357,betazole,
15379,ACM2_HUMAN,358,bethanechol,Ki
15325,ACM3_HUMAN,358,bethanechol,Ki
8206,SC6A2_HUMAN,359,betanidine,
8172,RXRA_HUMAN,361,bexarotene,Kd
4571,RXRB_HUMAN,361,bexarotene,Ki
4230,RXRG_HUMAN,361,bexarotene,Ki
18844,PPARA_HUMAN,362,bezafibrate,EC50
15965,ANDR_HUMAN,367,bicalutamide,Ki
10566,PF2R_HUMAN,371,bimatoprost,Ki
15806,ACM1_HUMAN,374,biperiden,Kd
15871,ADRB1_HUMAN,380,bisoprolol,Ki
6721,HRH1_HUMAN,383,bisulepine,
15277,ADRB2_HUMAN,384,bitolterol,
16701,THRB_HUMAN,385,bivalirudin,Ki
3781,PSA1_HUMAN,391,bortezomib,Ki
3803,PSB8_HUMAN,391,bortezomib,IC50
3801,PSB1_HUMAN,391,bortezomib,IC50
3565,PSB2_HUMAN,391,bortezomib,IC50
3548,PSB5_HUMAN,391,bortezomib,Ki
17480,EDNRA_HUMAN,392,bosentan,Ki
17481,EDNRB_HUMAN,392,bosentan,Ki
8206,SC6A2_HUMAN,394,bretylium,
15848,ADA2A_HUMAN,395,brimonidine,EC50
15360,ADA2B_HUMAN,395,brimonidine,EC50
15387,ADA2C_HUMAN,395,brimonidine,EC50
13132,CAH2_HUMAN,396,brinzolamide,Ki
10808,PGH2_HUMAN,401,bromfenac,IC50
10479,PGH1_HUMAN,401,bromfenac,IC50
570,DRD2_HUMAN,403,bromocriptine,Ki
6721,HRH1_HUMAN,404,bromazine,Ki
570,DRD2_HUMAN,407,bromperidol,Ki
6721,HRH1_HUMAN,408,brompheniramine,Ki
6721,HRH1_HUMAN,416,buclizine,
1184,GCR_HUMAN,419,budesonide,EC50
4556,S12A1_HUMAN,427,bumetanide,Ki
15934,ADA1A_HUMAN,429,bunazosin,
15686,ADA1B_HUMAN,429,bunazosin,
15871,ADRB1_HUMAN,431,levobunolol,Ki
15277,ADRB2_HUMAN,431,levobunolol,Ki
8479,SCN4A_HUMAN,432,bupivacaine,IC50
15871,ADRB1_HUMAN,433,bupranolol,Ki
15277,ADRB2_HUMAN,433,bupranolol,Ki
18529,OPRM_HUMAN,434,buprenorphine,Ki
18386,OPRK_HUMAN,434,buprenorphine,Ki
8358,SC6A3_HUMAN,435,bupropion,Kd
8206,SC6A2_HUMAN,435,bupropion,Ki
18039,GNRHR_HUMAN,436,buserelin,EC50
16194,5HT1A_HUMAN,437,buspirone,EC50
1031,GBRA1_HUMAN,439,secbutabarbital,
1283,GBRG2_HUMAN,439,secbutabarbital,
2778,GBRB2_HUMAN,439,secbutabarbital,
1031,GBRA1_HUMAN,441,butalbital,
1283,GBRG2_HUMAN,441,butalbital,
1316,GBRB3_HUMAN,441,butalbital,
18529,OPRM_HUMAN,454,butorphanol,Ki
18386,OPRK_HUMAN,454,butorphanol,Ki
570,DRD2_HUMAN,460,cabergoline,Ki
15560,AA2BR_HUMAN,463,caffeine,Ki
15544,AA2AR_HUMAN,463,caffeine,Ki
16170,AA1R_HUMAN,463,caffeine,Ki
