metabolite_id,metabolite_name
HMDB0000547,Magnesium
HMDB0000820,Propyl alcohol
HMDB0000863,Isopropyl alcohol
HMDB0000980,Dihydroneopterin triphosphate
HMDB0001232,4-Nitrophenol
HMDB0001429,Phosphate
HMDB0001473,Dihydroxyacetone phosphate
HMDB0001882,Dihydroxyacetone
HMDB0002111,Water
HMDB0002275,"7,8-Dihydroneopterin"
HMDB0004327,1-Butanol
HMDB0006006,Isobutanol
HMDB0012971,1-Hexanol
HMDB0013036,1-Pentanol
HMDB0015274,Amifostine
HMDB0060272,4-Nitrophenyl phosphate
HMDB0000464,Calcium
HMDB0000538,Adenosine triphosphate
HMDB0001341,ADP
HMDB0001041,2-Methylbutyryl-CoA
HMDB0001070,Octanoyl-CoA
HMDB0001088,Butyryl-CoA
HMDB0001113,Isovaleryl-CoA
HMDB0001114,Stearoyl-CoA
HMDB0001206,Acetyl-CoA
HMDB0001243,Isobutyryl-CoA
HMDB0001275,Propionyl-CoA
HMDB0001290,Glutaconyl-CoA
HMDB0001338,Palmityl-CoA
HMDB0001999,Eicosapentaenoic acid
HMDB0002009,Crotonoyl-CoA
HMDB0002057,Pristanoyl-CoA
HMDB0002307,Acrylyl-CoA
HMDB0002845,Hexanoyl-CoA
HMDB0003571,Lauroyl-CoA
HMDB0003712,(2E)-Dodecenoyl-CoA
HMDB0003944,trans-2-Hexenoyl-CoA
HMDB0003945,(2E)-Hexadecenoyl-CoA
HMDB0003946,(2E)-Tetradecenoyl-CoA
HMDB0003948,(2E)-Decenoyl-CoA
HMDB0003949,(2E)-Octenoyl-CoA
HMDB0004257,3Z-dodecenoyl-CoA
HMDB0004258,Eicosanoyl-CoA
HMDB0006404,Decanoyl-CoA (n-C10:0CoA)
HMDB0006497,Heptadecanoyl CoA
HMDB0006526,Tetracosanoyl-CoA
HMDB0006529,trans-Octadec-2-enoyl-CoA
HMDB0011660,2-Methylhexanoyl-CoA
HMDB0012969,Heptanoyl-CoA
HMDB0013028,Nonanoyl-CoA
HMDB0013037,Pentanoyl-CoA
HMDB0013114,Undecanoyl-CoA
HMDB0014518,Treprostinil
HMDB0014743,Sulindac
HMDB0015465,Bezafibrate
HMDB0000245,Porphobilinogen
HMDB0001149,5-Aminolevulinic acid
HMDB0003178,Heme
HMDB0003419,Formyl-CoA
HMDB0000217,NADP
HMDB0001333,Manganese
HMDB0001377,Oxygen
HMDB0001426,Formaldehyde
HMDB0001476,3-Hydroxyanthranilic acid
HMDB0001875,Methanol
HMDB0002168,Superoxide
HMDB0003125,Hydrogen peroxide
HMDB0004078,Cinnavalininate
HMDB0015344,Fomepizole
HMDB0059597,Hydrogen Ion
HMDB0258952,TGF-beta
HMDB0000108,Ethanol
HMDB0000145,Estrone
HMDB0000151,Estradiol
HMDB0000221,NADPH
HMDB0000234,Testosterone
HMDB0000876,Vitamin D3
HMDB0001389,Melatonin
HMDB0001830,Progesterone
HMDB0001847,Caffeine
HMDB0001889,Theophylline
HMDB0001892,Menadione
HMDB0001934,Nicotine
HMDB0012242,Ketoconazole
HMDB0012788,4-OH-Retinal
HMDB0012794,4-Oxoretinal
HMDB0013866,N-Desmethyltamoxifen
HMDB0013870,"cis,trans-5'-Hydroxythalidomide"
HMDB0013880,S-6-Hydroxywarfarin
HMDB0013921,7-Hydroxyticlopidine
HMDB0013946,8-Hydroxycarvedilol
HMDB0013974,4'-Hydroxydiclofenac
HMDB0014008,Hydroxylansoprazole
HMDB0014010,5-Hydroxyomeprazole
HMDB0014018,4-Hydroxypropofol
HMDB0014037,6-Hydroxyfluvastatin
HMDB0014322,Fluvoxamine
