mondoid,name
MONDO:0000001,disease or disorder
MONDO:0000002,"obsolete 46,XX sex reversal"
MONDO:0000003,obsolete 17-hydroxysteroid dehydrogenase deficiency
MONDO:0000004,adrenocortical insufficiency
MONDO:0000005,"alopecia, isolated"
MONDO:0000006,obsolete alopecia-mental retardation syndrome
MONDO:0000007,"obsolete atypical Mycobacteriosis, familial"
MONDO:0000008,obsolete bare lymphocyte syndrome
MONDO:0000009,"inherited bleeding disorder, platelet-type"
MONDO:0000010,obsolete cerebrooculofacioskeletal syndrome
MONDO:0000011,obsolete chondrodysplasia
MONDO:0000012,obsolete choreoathetosis
MONDO:0000013,obsolete choroidal dystrophy
MONDO:0000014,"colorblindness, partial"
MONDO:0000015,classic complement early component deficiency
MONDO:0000016,obsolete coronary heart disease
MONDO:0000017,"obsolete deafness, autosomal recessive"
MONDO:0000018,obsolete myotonic dystrophy
MONDO:0000019,obsolete ectodermal dysplasia
MONDO:0000020,obsolete elliptocytosis
MONDO:0000021,obsolete short-rib thoracic dysplasia
MONDO:0000022,nocturnal enuresis
MONDO:0000023,infantile liver failure
MONDO:0000024,"obsolete exostoses, multiple"
MONDO:0000025,obsolete familial cold autoinflammatory syndrome
MONDO:0000026,obsolete Fanconi renotubular syndrome
MONDO:0000027,"obsolete epilepsy, absence"
MONDO:0000028,"obsolete epilepsy, hot water"
MONDO:0000029,obsolete corticosterone methyloxidase deficiency
MONDO:0000030,"epilepsy, nocturnal frontal lobe"
MONDO:0000031,"obsolete fatty liver disease, nonalcoholic"
MONDO:0000032,"febrile seizures, familial"
MONDO:0000033,obsolete frontonasal dysplasia
MONDO:0000034,obsolete glomerulopathy with fibronectin deposits
MONDO:0000035,obsolete glucocorticoid deficiency
MONDO:0000036,"obsolete hemolytic anemia, nonspherocytic"
MONDO:0000037,"obsolete herpes simplex encephalitis, susceptibility"
MONDO:0000038,obsolete hyper-IgE recurrent infection syndrome
MONDO:0000039,"obsolete hypercalciuria, absorptive"
MONDO:0000040,"obsolete hyperphenylalaninemia, BH4-deficient"
MONDO:0000041,obsolete hyperphosphatasia with mental retardation syndrome
MONDO:0000042,obsolete hyperprolinemia
MONDO:0000043,obsolete hypomagnesemia
MONDO:0000044,hereditary hypophosphatemic rickets
MONDO:0000045,"hypothyroidism, congenital, nongoitrous"
MONDO:0000046,"obsolete hypouricemia, renal"
MONDO:0000047,obsolete immunodeficiency with hyper-IgM
MONDO:0000048,obsolete immunoglobulin A deficiency
MONDO:0000049,"obsolete invasive pneumococcal disease, recurrent isolated"
MONDO:0000050,isolated congenital growth hormone deficiency
MONDO:0000051,"obsolete keratoderma, palmoplantar striate"
MONDO:0000052,"obsolete leukodystrophy, hypomyelinating"
MONDO:0000053,"obsolete macroglobulinemia, Waldenstrom"
MONDO:0000054,obsolete macular dystrophy
MONDO:0000055,obsolete major affective disorder
MONDO:0000056,obsolete mandibuloacral dysplasia with lipodystrophy
MONDO:0000057,obsolete medullary cystic kidney disease
MONDO:0000058,"obsolete melanoma, cutaneous malignant"
MONDO:0000059,obsolete methylmalonic aciduria and homocystinuria
MONDO:0000060,microcephalic osteodysplastic primordial dwarfism
