id,dtype,protein_id,nhprotein_id,name,did,evidence,zscore,conf,description,reference,drug_name,log2foldchange,pvalue,score,source,O2S,S2O,mondoid,doid,name,def
732,UniProt Disease,2647,,Duchenne muscular dystrophy,MIM:310200,19 26 34 35 38 41,,,"Most common form of muscular dystrophy; a sex-linked recessive disorder. It typically presents in boys aged 3 to 7 year as proximal muscle weakness causing waddling gait, toe-walking, lordosis, frequent falls, and difficulty in standing up and climbing up stairs. The pelvic girdle is affected first, then the shoulder girdle. Progression is steady and most patients are confined to a wheelchair by age of 10 or 12. Flexion contractures and scoliosis ultimately occur. About 50% of patients have a lower IQ than their genetic expectations would suggest. There is no treatment.",,,,,,,,,MONDO:0010679,DOID:11723,Duchenne muscular dystrophy,A muscular dystrophy that has material basis in X-linked mutations in the DMD gene found on the X chromosome. It is characterized by rapidly progressing muscle weakness and muscle atrophy initially involving the lower extremities and eventually affecting the whole body. It affects males whereas females can be carriers. The symptoms start before the age of six and may appear at infancy.
733,UniProt Disease,2647,,Becker muscular dystrophy,MIM:300376,14,,,A neuromuscular disorder characterized by dystrophin deficiency. It appears between the age of 5 and 15 years with a proximal motor deficiency of variable progression. Heart involvement can be the initial sign. Becker muscular dystrophy has a more benign course than Duchenne muscular dystrophy.,,,,,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
3349,UniProt Disease,12144,,Duchenne muscular dystrophy,MIM:310200,7 8,,,"Most common form of muscular dystrophy; a sex-linked recessive disorder. It typically presents in boys aged 3 to 7 year as proximal muscle weakness causing waddling gait, toe-walking, lordosis, frequent falls, and difficulty in standing up and climbing up stairs. The pelvic girdle is affected first, then the shoulder girdle. Progression is steady and most patients are confined to a wheelchair by age of 10 or 12. Flexion contractures and scoliosis ultimately occur. About 50% of patients have a lower IQ than their genetic expectations would suggest. There is no treatment.",,,,,,,,,MONDO:0010679,DOID:11723,Duchenne muscular dystrophy,A muscular dystrophy that has material basis in X-linked mutations in the DMD gene found on the X chromosome. It is characterized by rapidly progressing muscle weakness and muscle atrophy initially involving the lower extremities and eventually affecting the whole body. It affects males whereas females can be carriers. The symptoms start before the age of six and may appear at infancy.
5137,UniProt Disease,18683,,Oculopharyngeal muscular dystrophy,MIM:164300,22,,,"A form of late-onset slowly progressive myopathy characterized by eyelid ptosis, dysphagia and, sometimes by other cranial and limb-muscle involvement.",,,,,,,,,MONDO:0008116,DOID:11719,oculopharyngeal muscular dystrophy,
190144,Monarch,13093,,limb-girdle muscular dystrophy,DOID:11724,ECO:0000033: traceable author statement,,,,,,,,,,,41.45481766,MONDO:0016971,DOID:11724,limb-girdle muscular dystrophy,A muscular dystrophy that is characterized by weakening of the muscles of the hip and shoulders which comprise the limb girdle muscles.
191307,Monarch,1881,,limb-girdle muscular dystrophy,DOID:11724,ECO:0000033: traceable author statement,,,,,,,,,,,50.57460898,MONDO:0016971,DOID:11724,limb-girdle muscular dystrophy,A muscular dystrophy that is characterized by weakening of the muscles of the hip and shoulders which comprise the limb girdle muscles.
191347,Monarch,2647,,Becker muscular dystrophy,OMIM:300376,ECO:0000322|ECO:0000220: imported manually asserted information used in automatic assertion|sequencing assay evidence,,,,,,,,,,,55.36624603,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
193647,Monarch,12022,,limb-girdle muscular dystrophy,DOID:11724,ECO:0000033: traceable author statement,,,,,,,,,,,100,MONDO:0016971,DOID:11724,limb-girdle muscular dystrophy,A muscular dystrophy that is characterized by weakening of the muscles of the hip and shoulders which comprise the limb girdle muscles.
193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,,,,,,,,,62.98075256,MONDO:0020121,DOID:9884,muscular dystrophy,A myopathy is characterized by progressive skeletal muscle weakness degeneration.
194906,Monarch,18683,,Oculopharyngeal muscular dystrophy,OMIM:164300,ECO:0000033|ECO:0000220|ECO:0000322: traceable author statement|sequencing assay evidence|imported manually asserted information used in automatic assertion,,,,,,,,,,,100,MONDO:0008116,DOID:11719,oculopharyngeal muscular dystrophy,
196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,,,,,,,,,84.67460485,MONDO:0020121,DOID:9884,muscular dystrophy,A myopathy is characterized by progressive skeletal muscle weakness degeneration.
196532,Monarch,9488,,limb-girdle muscular dystrophy,DOID:11724,None: None,,,,,,,,,,,92.59980009,MONDO:0016971,DOID:11724,limb-girdle muscular dystrophy,A muscular dystrophy that is characterized by weakening of the muscles of the hip and shoulders which comprise the limb girdle muscles.
196618,Monarch,4308,,facioscapulohumeral muscular dystrophy,DOID:11727,ECO:0000322|ECO:0000322: imported manually asserted information used in automatic assertion|imported manually asserted information used in automatic assertion,,,,,,,,,,,75.62549102,MONDO:0001347,DOID:11727,facioscapulohumeral muscular dystrophy,
222097,Expression Atlas,549,,Becker muscular dystrophy,DOID:9883,,,,,,,1.015,0.014332312,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222098,Expression Atlas,2543,,Becker muscular dystrophy,DOID:9883,,,,,,,1.098,0.008057957,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222099,Expression Atlas,5385,,Becker muscular dystrophy,DOID:9883,,,,,,,1.421,0.00011877,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222100,Expression Atlas,14302,,Becker muscular dystrophy,DOID:9883,,,,,,,1.167,0.027882073,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222101,Expression Atlas,6188,,Becker muscular dystrophy,DOID:9883,,,,,,,1.16,0.0012232,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222102,Expression Atlas,14566,,Becker muscular dystrophy,DOID:9883,,,,,,,1.073,0.016794251,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222103,Expression Atlas,475,,Becker muscular dystrophy,DOID:9883,,,,,,,1.727,0.001480451,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222104,Expression Atlas,14634,,Becker muscular dystrophy,DOID:9883,,,,,,,1.319,4.64E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222105,Expression Atlas,3058,,Becker muscular dystrophy,DOID:9883,,,,,,,1.174,0.005303153,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222106,Expression Atlas,16765,,Becker muscular dystrophy,DOID:9883,,,,,,,1.52,0.007849417,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222107,Expression Atlas,12084,,Becker muscular dystrophy,DOID:9883,,,,,,,-1.425,0.036001937,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222108,Expression Atlas,16872,,Becker muscular dystrophy,DOID:9883,,,,,,,1.277,0.00013369,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222109,Expression Atlas,14561,,Becker muscular dystrophy,DOID:9883,,,,,,,1.098,0.011922975,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222110,Expression Atlas,15710,,Becker muscular dystrophy,DOID:9883,,,,,,,1.006,0.018201303,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222111,Expression Atlas,98,,Becker muscular dystrophy,DOID:9883,,,,,,,1.082,3.68E-05,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222112,Expression Atlas,11889,,Becker muscular dystrophy,DOID:9883,,,,,,,1.039,0.000821026,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222113,Expression Atlas,1100,,Becker muscular dystrophy,DOID:9883,,,,,,,1.107,0.005077327,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
222114,Expression Atlas,12224,,Becker muscular dystrophy,DOID:9883,,,,,,,2.086,0.002237421,,,,,MONDO:0010311,DOID:9883,Becker muscular dystrophy,
