,drug_name,related_drug_name,drugbank_id,related_drugbank_id
0,Tacrine,Deferasirox,DB00382,DB01609
1,Tacrine,Peginterferon alfa-2b,DB00382,DB00022
2,Tacrine,Leflunomide,DB00382,DB01097
3,Tacrine,Teriflunomide,DB00382,DB08880
4,Tacrine,Dipyridamole,DB00382,DB00975
5,Tacrine,Ephedrine,DB00382,DB01364
6,Tacrine,Bambuterol,DB00382,DB01408
7,Tacrine,Clevidipine,DB00382,DB04920
8,Tacrine,"Sar9, Met (O2)11-Substance P",DB00382,DB05875
9,Tacrine,Procaine,DB00382,DB00721
10,Tacrine,Cocaine,DB00382,DB00907
11,Tacrine,Trimethaphan,DB00382,DB01116
12,Tacrine,Doxacurium,DB00382,DB01135
13,Tacrine,Chloroprocaine,DB00382,DB01161
14,Tacrine,Tubocurarine,DB00382,DB01199
15,Tacrine,Aclidinium,DB00382,DB08897
16,Tacrine,Butyrylthiocholine,DB00382,DB04250
17,Tacrine,Irinotecan,DB00382,DB00762
18,Tacrine,Mirabegron,DB00382,DB08893
19,Tacrine,Oxybuprocaine,DB00382,DB00892
20,Tacrine,Benzonatate,DB00382,DB00868
21,Tacrine,Succinylcholine,DB00382,DB00202
22,Tacrine,Abiraterone,DB00382,DB05812
23,Tacrine,Cyproterone acetate,DB00382,DB04839
24,Tacrine,Tramadol,DB00382,DB00193
25,Tacrine,Trospium,DB00382,DB00209
26,Tacrine,Oxyphenonium,DB00382,DB00219
27,Tacrine,Butabarbital,DB00382,DB00237
28,Tacrine,Butalbital,DB00382,DB00241
29,Tacrine,Benzatropine,DB00382,DB00245
30,Tacrine,Ziprasidone,DB00382,DB00246
31,Tacrine,Talbutal,DB00382,DB00306
32,Tacrine,Pentobarbital,DB00382,DB00312
33,Tacrine,Ipratropium,DB00382,DB00332
34,Tacrine,Methadone,DB00382,DB00333
35,Tacrine,Metixene,DB00382,DB00340
36,Tacrine,Terfenadine,DB00382,DB00342
37,Tacrine,Buclizine,DB00382,DB00354
38,Tacrine,Doxylamine,DB00382,DB00366
39,Tacrine,Trihexyphenidyl,DB00382,DB00376
40,Tacrine,Oxyphencyclimine,DB00382,DB00383
41,Tacrine,Procyclidine,DB00382,DB00387
42,Tacrine,Profenamine,DB00382,DB00392
43,Tacrine,Hyoscyamine,DB00382,DB00424
44,Tacrine,Cyproheptadine,DB00382,DB00434
45,Tacrine,Methscopolamine bromide,DB00382,DB00462
46,Tacrine,Metharbital,DB00382,DB00463
47,Tacrine,Darifenacin,DB00382,DB00496
48,Tacrine,Tridihexethyl,DB00382,DB00505
49,Tacrine,Triflupromazine,DB00382,DB00508
50,Tacrine,Dextromethorphan,DB00382,DB00514
51,Tacrine,Anisotropine methylbromide,DB00382,DB00517
52,Tacrine,Amoxapine,DB00382,DB00543
53,Tacrine,Lamotrigine,DB00382,DB00555
54,Tacrine,Atropine,DB00382,DB00572
55,Tacrine,Thiopental,DB00382,DB00599
56,Tacrine,Nicardipine,DB00382,DB00622
57,Tacrine,Mecamylamine,DB00382,DB00657
58,Tacrine,Pirenzepine,DB00382,DB00670
59,Tacrine,Homatropine methylbromide,DB00382,DB00725
60,Tacrine,Scopolamine,DB00382,DB00747
61,Tacrine,Isoflurane,DB00382,DB00753
62,Tacrine,Benzquinamide,DB00382,DB00767
63,Tacrine,Clidinium,DB00382,DB00771
64,Tacrine,Propiomazine,DB00382,DB00777
65,Tacrine,Propantheline,DB00382,DB00782
66,Tacrine,Dicyclomine,DB00382,DB00804
67,Tacrine,Biperiden,DB00382,DB00810
68,Tacrine,Brompheniramine,DB00382,DB00835
69,Tacrine,Methylphenobarbital,DB00382,DB00849
70,Tacrine,Amantadine,DB00382,DB00915
71,Tacrine,Methantheline,DB00382,DB00940
72,Tacrine,Hexafluronium,DB00382,DB00941
73,Tacrine,Cycrimine,DB00382,DB00942
74,Tacrine,Desloratadine,DB00382,DB00967
75,Tacrine,Glycopyrronium,DB00382,DB00986
76,Tacrine,Tolterodine,DB00382,DB01036
77,Tacrine,Oxybutynin,DB00382,DB01062
78,Tacrine,Promethazine,DB00382,DB01069
79,Tacrine,Diphenhydramine,DB00382,DB01075
80,Tacrine,Pentolinium,DB00382,DB01090
81,Tacrine,Flavoxate,DB00382,DB01148
82,Tacrine,Escitalopram,DB00382,DB01175
83,Tacrine,Quetiapine,DB00382,DB01224
84,Tacrine,Levacetylmethadol,DB00382,DB01227
85,Tacrine,Diphenidol,DB00382,DB01231
86,Tacrine,Aripiprazole,DB00382,DB01238
87,Tacrine,Chlorprothixene,DB00382,DB01239
88,Tacrine,Fenoterol,DB00382,DB01288
89,Tacrine,Amobarbital,DB00382,DB01351
90,Tacrine,Aprobarbital,DB00382,DB01352
91,Tacrine,Butobarbital,DB00382,DB01353
92,Tacrine,Heptabarbital,DB00382,DB01354
93,Tacrine,Hexobarbital,DB00382,DB01355
94,Tacrine,Methotrimeprazine,DB00382,DB01403
95,Tacrine,Tiotropium,DB00382,DB01409
96,Tacrine,Barbital,DB00382,DB01483
97,Tacrine,"Dihydro-2-thioxo-5-((5-(2-(trifluoromethyl)phenyl)-2-furanyl)methyl)-4,6(1H,5H)-pyrimidinedione",DB00382,DB01496
98,Tacrine,Solifenacin,DB00382,DB01591
99,Tacrine,Isopropamide,DB00382,DB01625
