"protein_id","protein_name","drug_id","drug_name","act_type","act_value"
8479,SCN4A_HUMAN,4,levobupivacaine,,
13223,CAC1D_HUMAN,6,(S)-nitrendipine,IC50,8.40000000
15871,ADRB1_HUMAN,13,levdobutamine,,
1137,DYR_HUMAN,21,aminopterin,IC50,4.93000000
495,DNMT1_HUMAN,25,azacitidine,IC50,6.52000000
491,DNM3A_HUMAN,25,azacitidine,,
5444,TYSY_HUMAN,26,fluorouracil,,
18039,GNRHR_HUMAN,35,abarelix,Ki,9.49000000
1031,GBRA1_HUMAN,38,acamprosate,,
1283,GBRG2_HUMAN,38,acamprosate,,
1316,GBRB3_HUMAN,38,acamprosate,,
20078,NMDE4_HUMAN,38,acamprosate,,
20030,NMD3B_HUMAN,38,acamprosate,,
18793,NMDZ1_HUMAN,38,acamprosate,,
18916,NMDE1_HUMAN,38,acamprosate,,
18917,NMDE2_HUMAN,38,acamprosate,,
20077,NMDE3_HUMAN,38,acamprosate,,
18792,NMD3A_HUMAN,38,acamprosate,,
12341,MGA_HUMAN,39,acarbose,IC50,5.69680000
16047,AMYP_HUMAN,39,acarbose,,
15871,ADRB1_HUMAN,40,acebutolol,Ki,7.30000000
10808,PGH2_HUMAN,47,acemetacin,,
10479,PGH1_HUMAN,47,acemetacin,,
10808,PGH2_HUMAN,52,paracetamol,IC50,4.31000000
7612,TRPV1_HUMAN,52,paracetamol,,
13132,CAH2_HUMAN,56,acetazolamide,Ki,8.48000000
13070,CAH1_HUMAN,56,acetazolamide,Ki,7.92000000
13175,CAH4_HUMAN,56,acetazolamide,Ki,7.96000000
13220,CAH12_HUMAN,56,acetazolamide,Ki,8.60000000
570,DRD2_HUMAN,59,acetophenazine,,
10956,NEP_HUMAN,60,racecadotril,IC50,9.00000000
15325,ACM3_HUMAN,65,acetylcholine,EC50,6.66000000
13813,AT1A1_HUMAN,67,acetyldigitoxin,,
17103,AT1B1_HUMAN,67,acetyldigitoxin,,
17101,AT1A3_HUMAN,67,acetyldigitoxin,,
16889,AT1B2_HUMAN,67,acetyldigitoxin,,
16891,AT1A2_HUMAN,67,acetyldigitoxin,,
17008,AT1B3_HUMAN,67,acetyldigitoxin,,
16863,ATNG_HUMAN,67,acetyldigitoxin,,
13820,AT1A4_HUMAN,67,acetyldigitoxin,,
569,DRD1_HUMAN,73,acepromazine,,
570,DRD2_HUMAN,73,acepromazine,,
10808,PGH2_HUMAN,74,acetylsalicylic acid,IC50,5.12000000
10479,PGH1_HUMAN,74,acetylsalicylic acid,IC50,5.77000000
10723,RARA_HUMAN,78,acitretin,,
3504,RARG_HUMAN,78,acitretin,,
9048,TOP1_HUMAN,80,aclarubicin,,
9079,TOP2A_HUMAN,80,aclarubicin,,
7662,TOP2B_HUMAN,80,aclarubicin,,
6721,HRH1_HUMAN,82,acrivastine,IC50,7.16000000
10648,RARB_HUMAN,87,adapalene,Ki,7.47000000
3504,RARG_HUMAN,87,adapalene,Ki,6.89000000
15544,AA2AR_HUMAN,90,adenosine,EC50,6.15490000
16170,AA1R_HUMAN,90,adenosine,EC50,6.50860000
15560,AA2BR_HUMAN,90,adenosine,EC50,4.61980000
1035,GBRD_HUMAN,93,adinazolam,,
1031,GBRA1_HUMAN,93,adinazolam,,
1315,GBRB1_HUMAN,93,adinazolam,,
1283,GBRG2_HUMAN,93,adinazolam,,
1316,GBRB3_HUMAN,93,adinazolam,,
1313,GBRA5_HUMAN,93,adinazolam,,
1309,GBRA3_HUMAN,93,adinazolam,,
2748,GBRA2_HUMAN,93,adinazolam,,
2778,GBRB2_HUMAN,93,adinazolam,,
1311,GBRA4_HUMAN,93,adinazolam,,
2776,GBRA6_HUMAN,93,adinazolam,,
1282,GBRG1_HUMAN,93,adinazolam,,
1036,GBRG3_HUMAN,93,adinazolam,,
8363,SCN5A_HUMAN,100,ajmaline,,
15277,ADRB2_HUMAN,105,salbutamol,Ki,5.95000000
10808,PGH2_HUMAN,107,alclofenac,,
5814,FPPS_HUMAN,112,alendronic acid,Ki,7.35000000
18529,OPRM_HUMAN,114,alfentanil,EC50,8.50000000
15934,ADA1A_HUMAN,115,alfuzosin,Ki,8.09000000
15894,ADA1D_HUMAN,115,alfuzosin,Ki,8.44000000
15686,ADA1B_HUMAN,115,alfuzosin,Ki,8.55000000
10304,RENI_HUMAN,119,aliskiren,IC50,9.22000000
570,DRD2_HUMAN,120,alizapride,Ki,7.15000000
14627,XDH_HUMAN,124,allopurinol,Ki,5.15000000
15254,"5HT1B_HUMAN",128,almotriptan,Ki,8.00000000
16115,"5HT1D_HUMAN",128,almotriptan,Ki,7.50000000
16197,"5HT3A_HUMAN",129,alosetron,Ki,9.30000000
5290,VDR_HUMAN,130,alfacalcidol,,
1031,GBRA1_HUMAN,136,alprazolam,EC50,7.43180000
1283,GBRG2_HUMAN,136,alprazolam,EC50,7.43180000
2778,GBRB2_HUMAN,136,alprazolam,EC50,7.43180000
1283,GBRG2_HUMAN,136,alprazolam,EC50,7.92080000
1316,GBRB3_HUMAN,136,alprazolam,EC50,7.92080000
2748,GBRA2_HUMAN,136,alprazolam,EC50,7.92080000
1283,GBRG2_HUMAN,136,alprazolam,EC50,7.16120000
1316,GBRB3_HUMAN,136,alprazolam,EC50,7.16120000
1309,GBRA3_HUMAN,136,alprazolam,EC50,7.16120000
1283,GBRG2_HUMAN,136,alprazolam,EC50,8.00000000
1316,GBRB3_HUMAN,136,alprazolam,EC50,8.00000000
