protein_id,drug_name,drugbank_id
17341,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
17341,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
15595,Tacrine,DB00382
17341,Tacrine,DB00382
