"id","protein_id","tissue","gender","tpm","tpm_rank","tpm_rank_bysex","tpm_level","tpm_level_bysex","tpm_f","tpm_m","log2foldchange","tau","tau_bysex","uberon_id","id","dtype","protein_id","nhprotein_id","name","did","evidence","zscore","conf","description","reference","drug_name","log2foldchange","pvalue","score","source","O2S","S2O","mondoid"
1582390,11193,Adipose - Subcutaneous,F,66.540000,0.918,0.882,High,High,66.540000,56.400000,0.235,0.806,0.781,UBERON:0002190,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582391,11193,Adipose - Subcutaneous,M,56.400000,0.878,0.936,High,High,66.540000,56.400000,0.235,0.806,0.782,UBERON:0002190,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582392,11193,Adipose - Visceral (Omentum),F,63.220000,0.908,0.863,High,High,63.220000,54.610000,0.208,0.806,0.781,UBERON:0014454,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582393,11193,Adipose - Visceral (Omentum),M,54.610000,0.857,0.915,High,High,63.220000,54.610000,0.208,0.806,0.782,UBERON:0014454,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582394,11193,Adrenal Gland,F,14.760000,0.490,0.431,Medium,Medium,14.760000,11.610000,0.322,0.806,0.781,UBERON:0002369,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582395,11193,Adrenal Gland,M,11.610000,0.429,0.489,Medium,Medium,14.760000,11.610000,0.322,0.806,0.782,UBERON:0002369,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582396,11193,Artery - Aorta,F,43.970000,0.776,0.765,High,High,43.970000,47.130000,-0.098,0.806,0.781,UBERON:0000947,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582397,11193,Artery - Aorta,M,47.130000,0.806,0.851,High,High,43.970000,47.130000,-0.098,0.806,0.782,UBERON:0000947,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582398,11193,Artery - Coronary,F,66.760000,0.929,0.902,High,High,66.760000,59.280000,0.169,0.806,0.781,UBERON:0001621,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582399,11193,Artery - Coronary,M,59.280000,0.898,0.957,High,High,66.760000,59.280000,0.169,0.806,0.782,UBERON:0001621,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582400,11193,Artery - Tibial,F,40.560000,0.735,0.686,Medium,Medium,40.560000,34.485000,0.228,0.806,0.781,UBERON:0007610,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582401,11193,Artery - Tibial,M,34.485000,0.684,0.745,Medium,Medium,40.560000,34.485000,0.228,0.806,0.782,UBERON:0007610,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582402,11193,Bladder,F,35.180000,0.694,0.647,Medium,Medium,35.180000,45.090000,-0.349,0.806,0.781,,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582403,11193,Bladder,M,45.090000,0.796,0.830,High,High,35.180000,45.090000,-0.349,0.806,0.782,,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582404,11193,Brain - Amygdala,F,2.099000,0.102,0.098,Low,Low,2.099000,2.106000,-0.003,0.806,0.781,UBERON:0001876,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582405,11193,Brain - Amygdala,M,2.106000,0.112,0.128,Low,Low,2.099000,2.106000,-0.003,0.806,0.782,UBERON:0001876,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582406,11193,Brain - Anterior cingulate cortex (BA24),F,2.142000,0.133,0.118,Low,Low,2.142000,1.920000,0.106,0.806,0.781,UBERON:0009835,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
1582407,11193,Brain - Anterior cingulate cortex (BA24),M,1.920000,0.092,0.106,Low,Low,2.142000,1.920000,0.106,0.806,0.782,UBERON:0009835,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
