id,protein_id,tissue,gender,tpm,tpm_rank,tpm_rank_bysex,tpm_level,tpm_level_bysex,tpm_f,tpm_m,log2foldchange,tau,tau_bysex,uberon_id
255683,138,Adipose - Subcutaneous,F,92.42,0.541,0.529,Medium,Medium,92.42,102.8,-0.152,0.588,0.574,UBERON:0002190
255685,138,Adipose - Visceral (Omentum),F,90.89,0.531,0.51,Medium,Medium,90.89,93.17,-0.035,0.588,0.574,UBERON:0014454
255687,138,Adrenal Gland,F,59.47,0.357,0.353,Medium,Medium,59.47,59.63,-0.004,0.588,0.574,UBERON:0002369
255689,138,Artery - Aorta,F,160.4,0.939,0.922,High,High,160.4,164.9,-0.04,0.588,0.574,UBERON:0000947
255691,138,Artery - Coronary,F,133.5,0.786,0.765,High,High,133.5,137,-0.037,0.588,0.574,UBERON:0001621
255693,138,Artery - Tibial,F,199.5,0.99,0.98,High,High,199.5,194.9,0.033,0.588,0.574,UBERON:0007610
255697,138,Brain - Amygdala,F,39.84,0.102,0.098,Low,Low,39.84,35.65,0.156,0.588,0.574,UBERON:0001876
255699,138,Brain - Anterior cingulate cortex (BA24),F,46.625,0.173,0.176,Low,Low,46.625,43.24,0.106,0.588,0.574,UBERON:0009835
255701,138,Brain - Caudate (basal ganglia),F,43.05,0.143,0.137,Low,Low,43.05,41.715,0.044,0.588,0.574,UBERON:0002420
255703,138,Brain - Cerebellar Hemisphere,F,95.61,0.561,0.549,Medium,Medium,95.61,105.2,-0.137,0.588,0.574,UBERON:0002245
255705,138,Brain - Cerebellum,F,101.355,0.622,0.608,Medium,Medium,101.355,102.75,-0.02,0.588,0.574,UBERON:0002037
255707,138,Brain - Cortex,F,46.57,0.163,0.157,Low,Low,46.57,51.09,-0.131,0.588,0.574,UBERON:0000956
255709,138,Brain - Frontal Cortex (BA9),F,54.86,0.306,0.294,Medium,Medium,54.86,53.075,0.047,0.588,0.574,UBERON:0001870
255711,138,Brain - Hippocampus,F,32.88,0.01,0.02,Low,Low,32.88,37.26,-0.175,0.588,0.574,UBERON:0022430
255713,138,Brain - Hypothalamus,F,51.77,0.235,0.255,Low,Medium,51.77,49.295,0.069,0.588,0.574,UBERON:0001898
255715,138,Brain - Nucleus accumbens (basal ganglia),F,49.875,0.204,0.216,Low,Low,49.875,51.97,-0.058,0.588,0.574,UBERON:0001882
255717,138,Brain - Putamen (basal ganglia),F,33.28,0.031,0.039,Low,Low,33.28,36.13,-0.115,0.588,0.574,UBERON:0001874
255719,138,Brain - Spinal cord (cervical c-1),F,58.425,0.337,0.333,Medium,Medium,58.425,54.31,0.104,0.588,0.574,UBERON:0006469
255721,138,Brain - Substantia nigra,F,41.86,0.133,0.118,Low,Low,41.86,38.23,0.128,0.588,0.574,UBERON:0002038
255723,138,Breast - Mammary Tissue,F,113.65,0.704,0.667,Medium,Medium,113.65,99.04,0.197,0.588,0.574,UBERON:0001911
255731,138,Colon - Sigmoid,F,131.9,0.776,0.745,High,Medium,131.9,134.1,-0.024,0.588,0.574,UBERON:0001159
255733,138,Colon - Transverse,F,52.92,0.255,0.275,Medium,Medium,52.92,54.53,-0.042,0.588,0.574,UBERON:0001157
255735,138,Esophagus - Gastroesophageal Junction,F,155.5,0.929,0.902,High,High,155.5,150.95,0.043,0.588,0.574,UBERON:0007650
255737,138,Esophagus - Mucosa,F,80.12,0.48,0.451,Medium,Medium,80.12,78.61,0.027,0.588,0.574,UBERON:0002469
255739,138,Esophagus - Muscularis,F,136.5,0.806,0.784,High,High,136.5,138.95,-0.025,0.588,0.574,UBERON:0004648
255741,138,Fallopian Tube,F,176.8,0.959,0.941,High,High,,,,0.588,0.574,UBERON:0003889
255742,138,Heart - Atrial Appendage,F,61.11,0.388,0.373,Medium,Medium,61.11,61.04,0.002,0.588,0.574,UBERON:0006618
255744,138,Heart - Left Ventricle,F,48.48,0.184,0.196,Low,Low,48.48,41.305,0.226,0.588,0.574,UBERON:0002084
255746,138,Kidney - Cortex,F,83.69,0.5,0.471,Medium,Medium,83.69,64.525,0.37,0.588,0.574,UBERON:0001225
255748,138,Liver,F,35.13,0.041,0.059,Low,Low,35.13,33.16,0.081,0.588,0.574,UBERON:0002107
255750,138,Lung,F,111.6,0.684,0.647,Medium,Medium,111.6,113.5,-0.024,0.588,0.574,UBERON:0002048
255752,138,Minor Salivary Gland,F,79.795,0.469,0.431,Medium,Medium,79.795,80.385,-0.01,0.588,0.574,UBERON:0001830
255754,138,Muscle - Skeletal,F,77.92,0.449,0.412,Medium,Medium,77.92,74.195,0.07,0.588,0.574,UBERON:0001134
255756,138,Nerve - Tibial,F,142.7,0.847,0.824,High,High,142.7,144,-0.013,0.588,0.574,UBERON:0001323
255758,138,Ovary,F,219.4,1,1,High,High,,,,0.588,0.574,UBERON:0000992
255759,138,Pancreas,F,51.725,0.224,0.235,Low,Low,51.725,53.06,-0.036,0.588,0.574,UBERON:0001264
255761,138,Pituitary,F,147.2,0.893,0.863,High,High,147.2,146,0.012,0.588,0.574,UBERON:0000007
255763,138,Prostate,M,119.2,0.714,0.766,Medium,High,,,,0.588,0.566,UBERON:0002367
255764,138,Skin - Not Sun Exposed (Suprapubic),F,100.4,0.602,0.588,Medium,Medium,100.4,100.95,-0.008,0.588,0.574,UBERON:0002097
255766,138,Skin - Sun Exposed (Lower leg),F,107,0.673,0.627,Medium,Medium,107,105.7,0.017,0.588,0.574,UBERON:002097
255768,138,Small Intestine - Terminal Ileum,F,57.815,0.327,0.314,Medium,Medium,57.815,56.05,0.044,0.588,0.574,UBERON:0002116
255770,138,Spleen,F,86.105,0.52,0.49,Medium,Medium,86.105,84.52,0.026,0.588,0.574,UBERON:0002106
255772,138,Stomach,F,69.285,0.418,0.392,Medium,Medium,69.285,70.155,-0.018,0.588,0.574,UBERON:0000945
255774,138,Testis,M,68.98,0.408,0.447,Medium,Medium,,,,0.588,0.566,UBERON:0000473
255775,138,Thyroid,F,138,0.827,0.804,High,High,138,147.2,-0.092,0.588,0.574,UBERON:0002046
255777,138,Uterus,F,191.7,0.969,0.961,High,High,,,,0.588,0.574,UBERON:0000995
255778,138,Vagina,F,119.55,0.724,0.686,Medium,Medium,,,,0.588,0.574,UBERON:0000996
255779,138,Whole Blood,F,36.76,0.071,0.078,Low,Low,36.76,58.815,-0.664,0.588,0.574,UBERON:0000178
789594,218,Adipose - Subcutaneous,F,657.4,0.765,0.725,High,Medium,657.4,768.9,-0.226,0.821,0.808,UBERON:0002190
789596,218,Adipose - Visceral (Omentum),F,569.45,0.735,0.706,Medium,Medium,569.45,588.3,-0.047,0.821,0.808,UBERON:0014454
789598,218,Adrenal Gland,F,127.3,0.367,0.333,Medium,Medium,127.3,126.05,0.014,0.821,0.808,UBERON:0002369
789600,218,Artery - Aorta,F,1130,0.867,0.843,High,High,1130,1175,-0.056,0.821,0.808,UBERON:0000947
789602,218,Artery - Coronary,F,1039,0.857,0.824,High,High,1039,1026,0.018,0.821,0.808,UBERON:0001621
789604,218,Artery - Tibial,F,806,0.806,0.765,High,High,806,880.1,-0.127,0.821,0.808,UBERON:0007610
789608,218,Brain - Amygdala,F,37.1,0.173,0.157,Low,Low,37.1,32.735,0.176,0.821,0.808,UBERON:0001876
789610,218,Brain - Anterior cingulate cortex (BA24),F,34.6,0.153,0.137,Low,Low,34.6,36.14,-0.061,0.821,0.808,UBERON:0009835
789612,218,Brain - Caudate (basal ganglia),F,37.69,0.184,0.176,Low,Low,37.69,31.58,0.248,0.821,0.808,UBERON:0002420
789614,218,Brain - Cerebellar Hemisphere,F,330.2,0.612,0.569,Medium,Medium,330.2,327.15,0.013,0.821,0.808,UBERON:0002245
789616,218,Brain - Cerebellum,F,362.45,0.643,0.608,Medium,Medium,362.45,353,0.038,0.821,0.808,UBERON:0002037
789618,218,Brain - Cortex,F,67.42,0.306,0.294,Medium,Medium,67.42,71.705,-0.088,0.821,0.808,UBERON:0000956
789620,218,Brain - Frontal Cortex (BA9),F,59.93,0.286,0.275,Medium,Medium,59.93,59.26,0.016,0.821,0.808,UBERON:0001870
789622,218,Brain - Hippocampus,F,26.71,0.071,0.078,Low,Low,26.71,29.07,-0.118,0.821,0.808,UBERON:0022430
789624,218,Brain - Hypothalamus,F,58.025,0.255,0.255,Medium,Medium,58.025,61.99,-0.094,0.821,0.808,UBERON:0001898
789626,218,Brain - Nucleus accumbens (basal ganglia),F,33,0.122,0.098,Low,Low,33,33.73,-0.031,0.821,0.808,UBERON:0001882
789628,218,Brain - Putamen (basal ganglia),F,25.37,0.061,0.059,Low,Low,25.37,28.405,-0.157,0.821,0.808,UBERON:0001874
