"Vitamin_id","Vitamin_name","protein_id","protein_name","Uniprot","geneid"
2,Vitamin A,13649,BECN1_HUMAN,A0A024R1X5,8678
2,Vitamin A,20042,NPT2A_HUMAN,A0A024R7R9,6569
2,Vitamin A,10799,PENK_HUMAN,A0A024R7V4,5179
2,Vitamin A,18907,PPBT_HUMAN,A0A024RAB4,249
2,Vitamin A,16898,AT2B1_HUMAN,A0A024RBC7,490
2,Vitamin A,18845,PPARD_HUMAN,A0A024RCW6,5467
2,Vitamin A,6009,HEM2_HUMAN,A0A140VJL9,210
2,Vitamin A,2283,CATA_HUMAN,A0A384P5Q0,847
2,Vitamin A,16733,TGFB1_HUMAN,A0A499FJK2,7040
2,Vitamin A,13543,CP1A1_HUMAN,A0N0X8,1543
2,Vitamin A,11953,LEP_HUMAN,A4D0Y8,3952
2,Vitamin A,13378,BMP7_HUMAN,A8K571,655
2,Vitamin A,19023,PPARG_HUMAN,E9PFV2,5468
2,Vitamin A,985,EPO_HUMAN,G9JKG7,2056
2,Vitamin A,4341,SGK1_HUMAN,O00141,6446
2,Vitamin A,16448,TAF4_HUMAN,O00268,6874
2,Vitamin A,10118,PLOD2_HUMAN,O00469,5352
2,Vitamin A,19662,NR5A2_HUMAN,O00482,2494
2,Vitamin A,2088,CYR61_HUMAN,O00622,3491
2,Vitamin A,10935,PDXK_HUMAN,O00764,8566
2,Vitamin A,913,ENPP3_HUMAN,O14638,5169
2,Vitamin A,16514,TMG2_HUMAN,O14669,5639
2,Vitamin A,15547,ABCD4_HUMAN,O14678,5826
2,Vitamin A,18210,PAHX_HUMAN,O14832,5264
2,Vitamin A,3205,DEGS1_HUMAN,O15121,8560
2,Vitamin A,9019,TIF1A_HUMAN,O15164,8805
2,Vitamin A,4066,S22A2_HUMAN,O15244,6582
2,Vitamin A,4226,S22A1_HUMAN,O15245,6580
2,Vitamin A,13590,BCAT2_HUMAN,O15382,587
2,Vitamin A,18516,P4HA2_HUMAN,O15460,8974
2,Vitamin A,3060,CP27B_HUMAN,O15528,1594
2,Vitamin A,51,CP26A_HUMAN,O43174,1592
2,Vitamin A,7704,SNAI2_HUMAN,O43623,6591
2,Vitamin A,13135,CALU_HUMAN,O43852,813
2,Vitamin A,11572,MED14_HUMAN,O60244,9282
2,Vitamin A,94,CUBN_HUMAN,O60494,8029
2,Vitamin A,9886,PLOD3_HUMAN,O60568,8985
2,Vitamin A,9369,SEP15_HUMAN,O60613,9403
2,Vitamin A,19360,JAK2_HUMAN,O60674,3717
2,Vitamin A,8230,S19A2_HUMAN,O60779,10560
2,Vitamin A,19938,NCOR1_HUMAN,O75376,9611
2,Vitamin A,11579,MED24_HUMAN,O75448,9862
2,Vitamin A,12861,NR1I2_HUMAN,O75469,8856
2,Vitamin A,1262,DHRS3_HUMAN,O75911,9249
2,Vitamin A,3850,PRAF3_HUMAN,O75915,10550
2,Vitamin A,8229,S14L2_HUMAN,O76054,23541
2,Vitamin A,16288,STC2_HUMAN,O76061,8614
2,Vitamin A,15881,AL1A2_HUMAN,O94788,8854
2,Vitamin A,12138,LRAT_HUMAN,O95237,9227
2,Vitamin A,15632,ABCA1_HUMAN,O95477,19
2,Vitamin A,14446,VNN1_HUMAN,O95497,8876
2,Vitamin A,14483,VNN2_HUMAN,O95498,8875
2,Vitamin A,9428,SNAI1_HUMAN,O95863,6615
2,Vitamin A,118,CYB5_HUMAN,P00167,1528
