"id","target_id","protein_id","pwtype","id_in_source","name","description","url"
8816,,138,KEGG,path:hsa05414,Dilated cardiomyopathy (DCM),,http://www.kegg.jp/kegg-bin/show_pathway?hsa05414
9358,,138,KEGG,path:hsa05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),,http://www.kegg.jp/kegg-bin/show_pathway?hsa05412
14033,,138,KEGG,path:hsa05410,Hypertrophic cardiomyopathy (HCM),,http://www.kegg.jp/kegg-bin/show_pathway?hsa05410
68337,,138,Reactome,R-HSA-1640170,Cell Cycle,,http://www.reactome.org/content/detail/R-HSA-1640170
69188,,138,Reactome,R-HSA-69278,"Cell Cycle, Mitotic",,http://www.reactome.org/content/detail/R-HSA-69278
79136,,138,Reactome,R-HSA-4419969,Depolymerisation of the Nuclear Lamina,,http://www.reactome.org/content/detail/R-HSA-4419969
104354,,138,Reactome,R-HSA-2995383,Initiation of Nuclear Envelope Reformation,,http://www.reactome.org/content/detail/R-HSA-2995383
105635,,138,Reactome,R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,,http://www.reactome.org/content/detail/R-HSA-9609523
110026,,138,Reactome,R-HSA-68886,M Phase,,http://www.reactome.org/content/detail/R-HSA-68886
120607,,138,Reactome,R-HSA-68882,Mitotic Anaphase,,http://www.reactome.org/content/detail/R-HSA-68882
121127,,138,Reactome,R-HSA-2555396,Mitotic Metaphase and Anaphase,,http://www.reactome.org/content/detail/R-HSA-2555396
121453,,138,Reactome,R-HSA-68875,Mitotic Prophase,,http://www.reactome.org/content/detail/R-HSA-68875
125906,,138,Reactome,R-HSA-2980766,Nuclear Envelope Breakdown,,http://www.reactome.org/content/detail/R-HSA-2980766
125955,,138,Reactome,R-HSA-2995410,Nuclear Envelope Reassembly,,http://www.reactome.org/content/detail/R-HSA-2995410
134974,,138,Reactome,R-HSA-9609507,Protein localization,,http://www.reactome.org/content/detail/R-HSA-9609507
185719,,138,WikiPathways,WP2118_r105534,Arrhythmogenic Right Ventricular Cardiomyopathy,,http://www.wikipathways.org/instance/WP2118_r105534
325401,,138,WikiPathways,WP4535_r104294,Envelope proteins and their potential roles in EDMD physiopathology,,http://www.wikipathways.org/instance/WP4535_r104294
1255,,218,KEGG,path:hsa04151,PI3K-Akt signaling pathway,,http://www.kegg.jp/kegg-bin/show_pathway?hsa04151
2977,,218,KEGG,path:hsa04512,ECM-receptor interaction,,http://www.kegg.jp/kegg-bin/show_pathway?hsa04512
3220,,218,KEGG,path:hsa04510,Focal adhesion,,http://www.kegg.jp/kegg-bin/show_pathway?hsa04510
11012,,218,KEGG,path:hsa04974,Protein digestion and absorption,,http://www.kegg.jp/kegg-bin/show_pathway?hsa04974
27316,,218,KEGG,path:hsa05165,Human papillomavirus infection,,http://www.kegg.jp/kegg-bin/show_pathway?hsa05165
35350,,218,PathwayCommons: panther,,Inflammation mediated by chemokine and cytokine signaling pathway,,http://apps.pathwaycommons.org/pathways?uri=http%3A%2F%2Fidentifiers.org%2Fpanther.pathway%2FP00031
35591,,218,PathwayCommons: panther,,Integrin signalling pathway,,http://apps.pathwaycommons.org/pathways?uri=http%3A%2F%2Fidentifiers.org%2Fpanther.pathway%2FP00034
39671,,218,PathwayCommons: pid,,Beta1 integrin cell surface interactions,,http://apps.pathwaycommons.org/pathways?uri=http%3A%2F%2Fpathwaycommons.org%2Fpc11%2FPathway_10f0f96341b68cece9ba6646e2222c56
41413,,218,PathwayCommons: pid,,Syndecan-1-mediated signaling events,,http://apps.pathwaycommons.org/pathways?uri=http%3A%2F%2Fpathwaycommons.org%2Fpc11%2FPathway_2916f6be840f5295d6cb4e198bfd8942
48348,,218,PathwayCommons: inoh,,Integrin signaling pathway ( Integrin signaling pathway ),,http://apps.pathwaycommons.org/pathways?uri=http%3A%2F%2Fpathwaycommons.org%2Fpc11%2FPathway_7869cf22fdff2057312c151361d24bb7
51447,,218,PathwayCommons: pid,,Integrins in angiogenesis,,http://apps.pathwaycommons.org/pathways?uri=http%3A%2F%2Fpathwaycommons.org%2Fpc11%2FPathway_a1fad3aea6bed5c73670bb81501e3294
64096,,218,Reactome,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,,http://www.reactome.org/content/detail/R-HSA-2022090
64648,,218,Reactome,R-HSA-422475,Axon guidance,,http://www.reactome.org/content/detail/R-HSA-422475
73900,,218,Reactome,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,,http://www.reactome.org/content/detail/R-HSA-1650814
73963,,218,Reactome,R-HSA-8948216,Collagen chain trimerization,,http://www.reactome.org/content/detail/R-HSA-8948216
74052,,218,Reactome,R-HSA-1474290,Collagen formation,,http://www.reactome.org/content/detail/R-HSA-1474290
79748,,218,Reactome,R-HSA-1266738,Developmental Biology,,http://www.reactome.org/content/detail/R-HSA-1266738
85874,,218,Reactome,R-HSA-1474244,Extracellular matrix organization,,http://www.reactome.org/content/detail/R-HSA-1474244
122470,,218,Reactome,R-HSA-375165,NCAM signaling for neurite out-growth,,http://www.reactome.org/content/detail/R-HSA-375165
122529,,218,Reactome,R-HSA-419037,NCAM1 interactions,,http://www.reactome.org/content/detail/R-HSA-419037
147422,,218,Reactome,R-HSA-162582,Signal Transduction,,http://www.reactome.org/content/detail/R-HSA-162582
153970,,218,Reactome,R-HSA-186797,Signaling by PDGF,,http://www.reactome.org/content/detail/R-HSA-186797
154422,,218,Reactome,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,http://www.reactome.org/content/detail/R-HSA-9006934
207151,,218,WikiPathways,WP2911_r105863,miRNA targets in ECM and membrane receptors,,http://www.wikipathways.org/instance/WP2911_r105863
