"id","protein_id","go_id","go_term","evidence","goeco","assigned_by","id","dtype","protein_id","nhprotein_id","name","did","evidence","zscore","conf","description","reference","drug_name","log2foldchange","pvalue","score","source","O2S","S2O","mondoid"
142018,11193,GO:0005604,C:basement membrane,IDA,ECO:0000314,UniProtKB,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142019,11193,GO:0062023,C:collagen-containing extracellular matrix,HDA,ECO:0007005,BHF-UCL,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142020,11193,GO:0043197,C:dendritic spine,IEA,ECO:0000501,Ensembl,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142021,11193,GO:0005576,C:extracellular region,TAS,ECO:0000304,Reactome,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142022,11193,GO:0031594,C:neuromuscular junction,IEA,ECO:0000501,Ensembl,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142023,11193,GO:0042383,C:sarcolemma,IEA,ECO:0000501,Ensembl,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142024,11193,GO:0043083,C:synaptic cleft,IEA,ECO:0000501,Ensembl,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142025,11193,GO:0005201,F:extracellular matrix structural constituent,HDA,ECO:0007005,BHF-UCL,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142026,11193,GO:0005102,F:signaling receptor binding,IEA,ECO:0000501,InterPro,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142027,11193,GO:0005198,F:structural molecule activity,TAS,ECO:0000304,ProtInc,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142028,11193,GO:0007411,P:axon guidance,IEA,ECO:0000501,Ensembl,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142029,11193,GO:0007155,P:cell adhesion,IEA,ECO:0000501,UniProtKB-KW,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142030,11193,GO:0030198,P:extracellular matrix organization,TAS,ECO:0000304,Reactome,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142031,11193,GO:0007517,P:muscle organ development,TAS,ECO:0000304,ProtInc,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142032,11193,GO:0032224,"P:positive regulation of synaptic transmission, cholinergic",IEA,ECO:0000501,Ensembl,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142033,11193,GO:0030155,P:regulation of cell adhesion,IEA,ECO:0000501,InterPro,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142034,11193,GO:0030334,P:regulation of cell migration,IEA,ECO:0000501,InterPro,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142035,11193,GO:0045995,P:regulation of embryonic development,IEA,ECO:0000501,InterPro,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
142036,11193,GO:0014037,P:Schwann cell differentiation,IEA,ECO:0000501,Ensembl,193712,Monarch,11193,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,62.9807525551000,MONDO:0020121
104381,8327,GO:0005789,C:endoplasmic reticulum membrane,IDA,ECO:0000314,MGI,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104382,8327,GO:0005509,F:calcium ion binding,IEA,ECO:0000501,InterPro,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104383,8327,GO:0016491,F:oxidoreductase activity,IEA,ECO:0000501,UniProtKB-KW,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104384,8327,GO:0055074,P:calcium ion homeostasis,IMP,ECO:0000315,UniProtKB,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104385,8327,GO:0071313,P:cellular response to caffeine,IEA,ECO:0000501,Ensembl,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104386,8327,GO:0034599,P:cellular response to oxidative stress,IEA,ECO:0000501,Ensembl,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104387,8327,GO:0048286,P:lung alveolus development,IEA,ECO:0000501,Ensembl,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104388,8327,GO:0007005,P:mitochondrion organization,IEA,ECO:0000501,Ensembl,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104389,8327,GO:0033555,P:multicellular organismal response to stress,IEA,ECO:0000501,Ensembl,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104390,8327,GO:1902884,P:positive regulation of response to oxidative stress,IMP,ECO:0000315,UniProtKB,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104391,8327,GO:0014858,P:positive regulation of skeletal muscle cell proliferation,IEA,ECO:0000501,Ensembl,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104392,8327,GO:0060314,P:regulation of ryanodine-sensitive calcium-release channel activity,IMP,ECO:0000315,UniProtKB,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104393,8327,GO:0003016,P:respiratory system process,IEA,ECO:0000501,Ensembl,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104394,8327,GO:0014873,P:response to muscle activity involved in regulation of muscle adaptation,IEA,ECO:0000501,Ensembl,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104395,8327,GO:0048741,P:skeletal muscle fiber development,IBA,ECO:0000318,GO_Central,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104396,8327,GO:0014816,P:skeletal muscle satellite cell differentiation,IEA,ECO:0000501,Ensembl,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
104397,8327,GO:0014834,P:skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration,IEA,ECO:0000501,Ensembl,196426,Monarch,8327,,muscular dystrophy,DOID:9884,ECO:0000033: traceable author statement,,,"",,,,,,,,84.6746048456000,MONDO:0020121
132814,10554,GO:0005788,C:endoplasmic reticulum lumen,IDA,ECO:0000314,UniProtKB,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132815,10554,GO:0046527,F:glucosyltransferase activity,IDA,ECO:0000314,MGI,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132816,10554,GO:0030158,F:protein xylosyltransferase activity,IEA,ECO:0000501,UniProtKB-EC,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132817,10554,GO:0035251,F:UDP-glucosyltransferase activity,IDA,ECO:0000314,UniProtKB,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132818,10554,GO:0035252,F:UDP-xylosyltransferase activity,IMP,ECO:0000315,UniProtKB,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132819,10554,GO:0048318,P:axial mesoderm development,IEA,ECO:0000501,Ensembl,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132820,10554,GO:0072358,P:cardiovascular system development,IEA,ECO:0000501,Ensembl,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132821,10554,GO:0007369,P:gastrulation,IEA,ECO:0000501,UniProtKB-KW,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132822,10554,GO:0060537,P:muscle tissue development,IMP,ECO:0000315,UniProtKB,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132823,10554,GO:0048339,P:paraxial mesoderm development,IEA,ECO:0000501,Ensembl,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132824,10554,GO:0045747,P:positive regulation of Notch signaling pathway,IMP,ECO:0000315,UniProtKB,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132825,10554,GO:0006493,P:protein O-linked glycosylation,IDA,ECO:0000314,MGI,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132826,10554,GO:0018242,P:protein O-linked glycosylation via serine,IMP,ECO:0000315,UniProtKB,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132827,10554,GO:0010470,P:regulation of gastrulation,ISS,ECO:0000250,UniProtKB,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
132828,10554,GO:0001756,P:somitogenesis,IEA,ECO:0000501,Ensembl,398535,eRAM,10554,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44800,3705,GO:0005903,C:brush border,IEA,ECO:0000501,Ensembl,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44801,3705,GO:0043034,C:costamere,TAS,ECO:0000304,BHF-UCL,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44802,3705,GO:0005737,C:cytoplasm,IBA,ECO:0000318,GO_Central,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44803,3705,GO:0005829,C:cytosol,IDA,ECO:0000314,HPA,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44804,3705,GO:0070062,C:extracellular exosome,HDA,ECO:0007005,UniProtKB,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44805,3705,GO:0005925,C:focal adhesion,IDA,ECO:0000314,HPA,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44806,3705,GO:0030056,C:hemidesmosome,IDA,ECO:0000314,UniProtKB,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44807,3705,GO:0045111,C:intermediate filament cytoskeleton,IDA,ECO:0000314,HPA,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44808,3705,GO:0016020,C:membrane,IBA,ECO:0000318,GO_Central,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44809,3705,GO:0048471,C:perinuclear region of cytoplasm,IBA,ECO:0000318,GO_Central,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44810,3705,GO:0005886,C:plasma membrane,NAS,ECO:0000303,ProtInc,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44811,3705,GO:0042383,C:sarcolemma,IDA,ECO:0000314,UniProtKB,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44812,3705,GO:0016528,C:sarcoplasm,ISS,ECO:0000250,BHF-UCL,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44813,3705,GO:0003779,F:actin binding,IEA,ECO:0000501,UniProtKB-KW,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44814,3705,GO:0030506,F:ankyrin binding,IPI,ECO:0000353,BHF-UCL,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44815,3705,GO:0045296,F:cadherin binding,HDA,ECO:0007005,BHF-UCL,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44816,3705,GO:0003723,F:RNA binding,HDA,ECO:0007005,UniProtKB,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44817,3705,GO:0005200,F:structural constituent of cytoskeleton,IBA,ECO:0000318,GO_Central,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44818,3705,GO:0008307,F:structural constituent of muscle,IMP,ECO:0000315,UniProtKB,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44819,3705,GO:0005198,F:structural molecule activity,IBA,ECO:0000318,GO_Central,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44820,3705,GO:0031581,P:hemidesmosome assembly,IDA,ECO:0000314,UniProtKB,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44821,3705,GO:0045104,P:intermediate filament cytoskeleton organization,IBA,ECO:0000318,GO_Central,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
44822,3705,GO:0042060,P:wound healing,IBA,ECO:0000318,GO_Central,398536,eRAM,3705,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW,,,MONDO:0020121
163825,13093,GO:0005901,C:caveola,ISS,ECO:0000250,UniProtKB,398537,eRAM,13093,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW|GHR,,,MONDO:0020121
163826,13093,GO:0009986,C:cell surface,IEA,ECO:0000501,Ensembl,398537,eRAM,13093,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW|GHR,,,MONDO:0020121
163827,13093,GO:0016010,C:dystrophin-associated glycoprotein complex,IDA,ECO:0000314,UniProtKB,398537,eRAM,13093,,muscular dystrophy,DOID:9884,,,,,,,,,,UniProtKB-KW|GHR,,,MONDO:0020121
